date,collected_total,collected_A,collected_B,collected_O,collected_AB,team_total,Individual_donate,demand_total,demand_A,demand_B,demand_O,demand_AB,supply_total,supply_A,supply_B,supply_O,supply_AB,platelet_collection,platelet_collection_tx_units,platelet_collection_A,platelet_collection_B,platelet_collection_O,platelet_collection_AB,platelet_supply,platelet_supply_A,platelet_supply_B,platelet_supply_O,platelet_supply_AB
12/08/2014,3067.75,954,805.55,1061.3,246.9,1306.7,1761.05,3700,1000,1000,1350,350,3908,1184,1007,1376.5,340.5,415,549.9,170.4,150.4,190.6,38.5,623.3,185.8,163.2,233.7,40.6
12/15/2014,3647.4,1094.15,1007.05,1227.2,319,1924.5,1722.9,4000,1100,1100,1400,400,4061,1170.5,1075,1403,412.5,354,513.7,153.9,155.6,156.5,47.7,490.1,135,152.5,160.6,42
12/22/2014,4075.2,1162.7,1061.8,1466.1,384.6,2085.25,1989.95,3800,1100,1050,1300,350,3964.5,1124.5,1075.5,1363,401.5,400,585.9,172.5,181.9,184.5,47,617.6,206.4,178.4,187.7,45.1
12/29/2014,2836.15,871.75,786,937.4,241,325.5,2510.65,3240,920,900,1100,320,3275,903,896.5,1129,346.5,347,499,144.5,139,160.4,55.1,617.3,171.7,179,203.6,63
01/05/2015,2726.65,849.25,722.85,941.05,213.5,1259.3,1467.35,3450,900,1100,1100,350,3445.5,881,1055.5,1143,366,376,525,168.7,139.1,170.5,46.7,446.4,129.5,126.1,147.3,43.5
01/12/2015,3903.15,1145.5,1044.15,1333.7,379.8,1899.15,2004,3350,1000,1000,1000,350,3548.5,1038.5,1042.5,1090,377.5,364,500.8,151.4,140.8,159.9,48.7,537.2,181.4,135.8,165.2,54.8
1/19/2015,3256.15,1047,827,1121.15,261,1194,2062.15,3550,1100,1000,1200,250,3698,1079,1003.5,1216,399.5,365,510.2,139.2,160.8,170.3,39.9,524.1,126.3,170.3,179.5,48
1/26/2015,2149.9,644.5,569.9,760.5,175,422,1727.9,3100,900,900,1000,300,3163.5,876,970,1028,289.5,356,495.1,157.5,122.4,163.1,52.1,525.9,169.6,145.2,156.2,54.9
02/02/2015,3118.05,992,783.5,1051.05,291.5,992.5,2125.55,3000,950,800,1000,250,3020.5,938,843,993,246.5,407,568.7,141.1,161.3,223.5,42.8,570.5,154.7,160.5,213.8,41.5
02/09/2015,4448.55,1371.7,1130.1,1555.25,391.5,1033,3415.55,4600,1200,900,1250,1250,3658.5,1192.5,937,1270.5,258.5,310,447,135.3,128.8,145,37.9,550.8,161.4,164.1,181,44.3
2/16/2015,981.55,272.2,241.75,390.6,77,,981.55,2300,700,600,800,200,2273.5,706,563,798.5,206,185,264.6,65.8,67.5,107.4,23.9,361.1,89.1,86.7,151.2,34.1
2/23/2015,1728.15,539,428,607.15,154,261.3,1466.85,2450,750,750,750,200,2456.5,741,722.5,764.5,228.5,314,454.83,125.4,122.83,166,40.6,385.4,104,114,134.6,32.8
03/02/2015,2550.6,804.5,674.5,868.1,203.5,573,1977.6,2950,800,900,950,300,2943,808.5,907,943.5,284,379,544.7,197.9,147.3,149.6,49.9,518.1,178.1,131.3,156.4,52.3
03/09/2015,4019.25,1242.45,1022.6,1383.2,371,1370.75,2648.5,3500,1100,900,1200,300,3507.5,1071.5,900,1223.5,312.5,404,671,226.3,174.7,220.8,49.2,575.5,182,157.3,190.8,45.4
3/16/2015,4365.8,1325.1,1102.5,1566.05,372.15,1912.3,2453.5,3700,1100,1000,1250,350,3700,1134,977,1226,363,401,564.4,159.6,143.9,199,61.9,595.2,149.1,152.8,225.3,68
3/23/2015,4096.55,1254.15,1053.7,1452.65,336.05,1832.45,2264.1,4050,1300,1000,1400,350,4067.5,1311.5,1002,1390.5,363.5,398,549.6,174.4,178.1,148.7,48.4,543.9,172.3,155.8,164.1,51.7
3/30/2015,2850.4,888.85,713,1000.4,248.15,920.4,1930,3400,1000,950,1250,200,3447,1015,949.5,1251,231.5,349,491.4,130,143,169.9,48.5,566.2,154.3,175.7,173.1,63.1
04/06/2015,2699.8,792.15,663.15,1006,238.5,569,2130.8,3100,900,900,1050,250,3097.5,890,927,1042,238.5,440,601.7,184.4,174.6,188.2,54.5,527.7,160.5,143.7,178,45.5
4/13/2015,3667.85,1096.6,962.95,1272.3,336,1233.3,2434.55,3800,1100,1000,1400,300,3780,1110,1034.5,1335,300.5,383,512.5,131.6,121.2,215.2,44.5,589.5,155.6,157.8,218.7,57.4
04/02/2015,4200.2,1271.65,1047.5,1484.05,397,2062.15,2138.05,3850,1150,950,1450,300,3876,1150.5,954,1446,325.5,385,514,144,144.3,171.1,54.6,544,152.2,144.7,198.4,48.7
4/27/2015,3718.25,1143.15,987.45,1265.65,322,1383.05,2335.2,3410,1050,900,1200,260,3427,1065.5,892.5,1207.5,261.5,410,571.3,161.1,173.7,185.3,51.2,560.3,165.4,154.3,184.9,55.7
05/04/2015,3482.9,1056.15,902.25,1231.3,293.2,897.7,2585.2,4090,1300,1040,1450,300,4183.5,1305.5,1089.5,1482,306.5,402,562,189,159.4,173.8,39.8,541,163,156.3,169.5,52.2
05/11/2015,4233.1,1319.9,1137.65,1456.85,318.7,2079.1,2154,3350,950,900,1150,350,3350,944.5,918,1170.5,317,402,556.4,143.6,154.5,198,60.3,601.3,179.8,170.6,202.9,48
5/18/2015,3556.6,1066.95,934,1240.15,315.5,1423.2,2133.4,3850,1200,900,1500,250,3796.5,1164,910,1456,266.5,386,537.3,167.1,153.7,173.7,42.8,547.6,148.2,151.3,193.7,54.4
5/25/2015,4294.75,1261.6,1186.45,1446.95,399.75,2450.75,1844,3800,1050,900,1500,350,3796.5,1050,899.5,1475,372,404,556.7,168.7,171.3,164.1,52.6,537.9,169.8,158.7,163.3,46.1
06/01/2015,2347.3,754,618.1,797.2,178,673,1674.3,3800,1100,1100,1300,300,3838.5,1187,1079.5,1252.5,319.5,394,541.5,162.2,129.2,189.9,60.2,542.1,157.7,161.2,167,56.2
06/08/2015,3030.2,919.65,806.9,1063.65,240,945,2085.2,3250,1000,1050,900,300,3238,985,1083.5,854.5,315,458,617.8,183.5,174.3,211.2,48.8,589.6,198.6,132.9,214.3,43.8
6/15/2015,3551.35,1095.3,915.25,1234.3,306.5,916.3,2635.05,3250,1100,900,1000,250,3303.5,1058,907,1055.5,283,396,547.4,142.1,156.7,202.9,45.7,612.5,143.3,202.8,206.9,59.5
6/22/2015,3868,1160.75,1025.25,1353.5,328.5,1824.75,2043.25,4000,1300,1100,1300,300,4102,1324,1097.5,1330,350.5,405,524.4,168.2,153.8,160.7,41.7,643.8,207.5,175.7,206.4,54.2
6/29/2015,4366.45,1286.05,1122.25,1564.3,393.85,2730.4,1636.05,3800,1100,900,1500,300,3774,1117,901.5,1457.5,298,417,561.8,163.6,175.9,169.8,52.5,507,135.8,163.2,164.6,43.4
07/06/2015,4094.8,1206,1206,1360,322.8,2344.85,1749.95,4250,1400,1050,1500,300,4252.5,1382,1069,1539.5,262,362,474.7,146.3,136.2,160.5,31.7,520.4,163.6,139.7,175.6,41.5
7/13/2015,3916.55,1165.8,1054.95,1354.5,341.3,2071,1845.55,3650,1100,950,1300,300,3592,1065.5,940.5,1271.5,314.5,388,529.2,160,140.5,188.6,40.1,490.4,131.5,144.8,166.9,47.2
7/20/2015,3386.6,1077,893.35,1093.25,323,1876.15,1510.45,3800,1200,950,1350,300,3783.5,1158.5,974.5,1322.5,328,332,450.6,156.9,124.5,135.4,33.8,472.2,173.3,119.1,143.7,36.1
7/27/2015,2535.9,783,660.35,860.55,232,1201.2,1334.7,3500,1200,800,1200,300,3520,1136,879.5,1139.5,365,401,558.5,191.9,155.1,171.9,39.6,521.9,156.8,160.8,166.6,37.7
08/03/2015,2498.65,756.95,647.5,881.1,213.1,1027.65,1471,3030,950,850,950,280,2929.5,887.5,855,890,297,387,535.9,144.6,153.9,182.5,54.9,564.8,180.2,134.8,195.1,54.7
08/01/2015,2739.85,803.25,703.5,1021.1,212,513.5,2226.35,3280,850,950,1100,380,3237.5,849,968.5,1038.5,381.5,382,519.1,169.5,146.2,162.4,41,547.9,157.1,159,181.2,50.6
8/17/2015,3192.95,1037.5,803,1059.95,292.5,1084.7,2108.25,3400,1000,1000,1100,300,3374.5,1008,1005.5,1070.5,290.5,351,496.4,143.4,143.2,164.1,45.7,516.2,164.6,148.5,161.3,41.8
8/24/2015,3458.05,1015,968.75,1191.3,283,1695.3,1762.75,3450,1050,1000,1100,300,3501.5,1048.5,1035.5,1105.5,312,348,480.3,153,126.6,161,39.7,501.1,133.5,153,170.4,44.2
8/31/2015,2221.8,644.25,643.3,740.25,194,323.55,1898.25,2900,800,850,1000,250,2796.5,771.5,820.5,944.5,260,380,539.6,175.7,149.2,167.8,46.9,602.1,210,153.2,192.5,46.4
09/07/2015,2613.15,727.15,683.5,961,241.5,549,2064.15,2950,820,830,1000,300,2948.5,815.5,833,976,324,387,538.6,153.9,146.2,185.4,53.1,455.8,121.1,128.7,157.6,48.4
9/14/2015,3264.6,976,822.2,1149.4,317,1067.2,2197.4,3120,850,850,1100,320,3017.5,841,835,1021.5,320,403,547.6,149.4,161,184.5,52.7,556.7,149.7,161.5,194.3,51.2
9/21/2015,4301.2,1270.4,1079.3,1598.25,353.25,2121,2180.2,3850,1300,950,1300,300,3837,1294,945.5,1312,285.5,462,608.8,188.3,141.6,217.5,61.4,604,194,136.1,214.7,59.2
9/28/2015,3310.9,986.85,836.25,1208.8,279,605.15,2705.75,3300,1100,800,1100,300,3241,1032.5,793.5,1126,289,355,479.1,155.1,131.8,151.8,40.4,573.2,171.8,163,187.7,50.7
01/05/2015,2392.2,798.15,551.1,837.45,205.5,313.35,2078.85,2910,860,850,900,300,2842.5,856.5,837.5,877.5,271,371,540.5,173.9,151.7,174.5,40.4,493.7,162.4,133.6,153.4,44.3
01/12/2015,3522,1060.4,912.1,1271.45,278.05,1520.25,2001.75,3950,1200,1000,1400,350,3843.5,1189.5,966,1342,346,380,546.9,174.5,159.7,169.3,43.4,505.9,145.3,152,168.7,39.9
1/19/2015,5189.8,1536.2,1380.3,1787.3,486,2841.75,2348.05,4080,1300,1000,1500,280,4033.5,1292.5,955.5,1505.5,280,379,536.7,176.7,147.5,173,39.5,564.8,184.3,154.2,177.6,48.7
1/26/2015,2976.6,883.8,758.65,1059.8,274.35,619.6,2357,3880,1300,900,1300,380,3726.5,1209.5,868.5,1257,391.5,383,558.6,170.1,142,195.5,51,561.6,171.4,143.3,191.8,55.1
11/02/2015,2355,822.25,557.5,792,183.25,586.75,1768.25,3100,800,900,1100,300,3028,786.5,885,1051.5,305,346,519.3,176.6,144.8,164,33.9,519.6,175.1,139.9,167.8,36.8
11/09/2015,5059.85,1516.5,1332.45,1744.5,466.4,3098.9,1960.95,3900,1300,1000,1300,300,3814,1215.5,981.5,1283,334,377,557.2,165.3,163.1,185.7,43.1,583.8,186.4,162.4,189,46
11/16/2015,6270.25,1863.75,1691.3,2165.7,549.5,4202,2068.25,4300,1400,1100,1500,300,4375.5,1438,1088.5,1538,311,398,587.3,179.4,163.8,189.2,54.9,628.6,182.8,186.1,205.9,53.8
11/23/2015,4022.9,1202.7,1013.25,1492.85,314.1,2685.4,1337.5,4300,1400,1100,1500,300,4327.5,1342,1129.5,1541.5,314.5,393,592,172.4,188.4,189.2,42,589.9,170.8,175.2,198.7,45.2
11/03/2015,2866.9,839.3,795.45,999.1,233.05,1255.7,1611.2,3750,1200,900,1250,400,3763.5,1222.5,864.5,1268,408.5,367,545.6,169.3,168.8,165.5,42,556.7,166.8,172.7,175,42.2
12/07/2015,3548.2,1075.55,906.85,1280.3,285.5,1668.25,1879.95,4000,1200,1100,1300,400,4045,1164,1157,1313,411,419,608.4,192.4,178.9,193,44.1,616.6,193.3,170.3,208.6,44.4
12/14/2015,3295.35,1034.25,842.5,1121.6,297,1622.7,1672.65,4200,1300,1000,1500,400,4185.5,1288.5,1013,1462.5,421.5,374,577.9,172.5,159.6,182.4,63.4,600.7,181.3,176,183.5,59.9
12/21/2015,3192.5,932.6,872.2,1091.55,296.15,1221.95,1970.55,4500,1300,1200,1600,400,4421,1282,1192,1547.5,399.5,383,572,178,136.2,213.3,44.5,546.6,161.8,143.4,194.6,46.8
12/28/2015,3746.25,1124.75,993.2,1296.4,331.9,815.1,2931.15,3500,1000,1000,1200,300,3488,997.5,1024,1203,263.5,463,701.1,216.2,209.9,215.6,59.4,741,232.4,202.2,242.1,64.3
01/04/2016,2123.4,620.3,573.7,742.9,186.5,591,1532.4,3700,1100,1050,1200,350,3732,1104.5,1060.5,1218,349,367,578,165.5,162.7,203.1,46.7,582.8,173.3,162.2,201.7,45.6
01/11/2016,2453.05,762.55,626.35,847.65,216.5,786.05,1667,3250,850,1100,1000,300,3238.5,843,1103.5,988.5,303.5,361,558.3,170.2,151.3,184.3,52.5,605.8,172.5,183.6,190.9,58.8
1/18/2016,2778.7,914.95,688.65,943.8,231.3,1228.95,1549.75,3230,900,1000,970,360,3204,895,991.5,961.5,356,369,545.8,156.7,156.1,180.7,52.3,609,176.1,165.3,205.2,62.4
1/25/2016,3545.15,1124,867.5,1214.85,338.8,1677.6,1867.55,3200,950,950,950,350,2899,820,839,891,349,377,578.8,176.8,180.1,164.9,57,612.7,184.8,183.2,190.6,54.1
02/01/2016,1935.55,571.3,506.2,678.55,179.5,14,1921.55,3270,1050,900,1100,220,2919,929.5,779,1008.5,202,277,441.4,148.8,117.3,145.8,29.5,594.6,188.6,163.2,194.8,48
02/08/2016,1457.25,450.75,377.8,491.7,137,,1457.25,1950,550,500,700,200,1480,405.5,363,558.5,153,237,374.3,124.7,120.7,97.7,31.2,354.9,116.6,107.6,92.9,37.8
2/15/2016,3514.45,1101.9,855.8,1258.25,298.5,373.95,3140.5,3200,900,900,1100,300,2969.5,852.5,822.5,1019,275.5,365,557.3,182.6,160.8,175.3,38.6,529.2,176.5,169.2,157.1,26.4
2/22/2016,4238.9,1310.8,1060,1519,349.1,967.6,3271.3,4050,1200,1100,1400,350,4043,1167,1096.5,1422.5,357,384,599.6,186.4,172.4,184.8,56,592.9,189.5,166.8,177.8,58.8
2/29/2016,5359.5,1592.45,1542.75,1793.8,430.5,2170.55,3188.95,4590,1500,1150,1600,340,4592,1490.5,1164,1597,340.5,428,629.3,221.3,162.6,186.9,58.5,616.1,185.9,155.7,209,65.5
03/07/2016,2934.25,902.05,786.3,945.4,300.5,886.4,2047.85,4270,1400,1000,1500,370,4088.5,1333,914,1466.5,375,424,636.2,195.3,196.2,191.8,52.9,678.6,237.7,179.7,207.7,53.5
3/14/2016,4295.85,1280.95,1148.3,1478.1,388.5,1828.55,2467.3,4100,1300,1100,1400,300,4088,1327.5,1106.5,1367.5,286.5,445,627.4,193.1,158,205.7,70.6,639.7,196.4,187.9,192.7,62.7
3/21/2016,4408.15,1287.85,1172.8,1547.5,400,2535.9,1872.25,3901,1201,1000,1300,400,3881.5,1201,1012.5,1274.5,393.5,545,760.1,227.3,217.5,250.6,64.7,740.5,231.1,190.7,240.1,78.6
3/28/2016,3289.55,943.5,869.95,1115.5,360.6,1483.8,1805.75,4400,1400,1100,1500,400,4399,1418.5,1094.5,1501.5,384.5,416,602.2,196.4,165.4,190.1,50.3,711.2,197.3,210.5,247.9,55.5
04/04/2016,2497.65,741.75,619.65,916.75,219.5,31,2466.65,3400,1000,1000,1100,300,3405.5,954.5,963.5,1151,336.5,455,664.6,227.8,173,188.8,75,651.6,239.5,166.1,181.4,64.6
04/11/2016,3092.4,955.7,859.95,1024.8,251.95,740,2352.4,3680,1100,1000,1300,280,3623,1054.5,1027.5,1251.5,289.5,419,596.1,199,136.9,206.5,53.7,593.5,192.9,141.7,201.1,57.8
4/18/2016,2909.6,853.75,794.8,1027.3,233.75,1048.75,1860.85,4140,1240,1200,1350,350,4141,1237,1203.5,1352,348.5,443,649.8,203.8,180.2,209.2,56.6,710.8,221.1,194.8,228.6,66.3
4/25/2016,4974.25,1548.3,1282.15,1677.05,466.75,2193.2,2781.05,4100,1300,1000,1400,400,4075,1291.5,1023.5,1360,400,462,642.2,218.4,169.7,201.4,52.7,675.6,210.7,180.3,232.9,51.7
05/02/2016,3030.75,931.6,784.5,1028.65,286,1300,1730.75,4150,1250,1050,1550,300,4162,1253.5,1042.5,1546.5,319.5,426,606.1,179.2,173.6,190,63.3,627.6,203.2,181.1,185.2,58.1
05/09/2016,3447,1022.85,893.15,1211.5,319.5,1519.4,1927.6,3600,1100,1000,1200,300,3541.5,1075,958.5,1204.5,303.5,429,597.6,202.4,165.2,181.8,48.2,610.7,188.3,170.5,189.9,62
5/16/2016,4841.15,1460.55,1361.85,1653.55,365.2,2721.5,2119.65,4500,1400,1100,1600,400,4564,1410.5,1160,1615.5,378,448,640.5,180.2,173.9,228.5,57.9,649.1,194.4,176.4,228.2,50.1
5/23/2016,3956.8,1203.3,1103.95,1346.7,302.85,2150.55,1806.25,3300,1000,900,1100,300,3301,1013,860.5,1112,315.5,432,627.3,187,173.1,198.1,69.1,634.6,186.8,177.3,206.5,64
05/03/2016,3096.15,923.65,792.05,1092.95,287.5,1232.85,1863.3,3850,1200,1050,1300,300,3888,1163.5,1040,1356,328.5,392,596.2,192.1,174.9,165.4,63.8,626.3,203.2,173.3,186,63.8
06/06/2016,1882.15,257,712.75,633.9,278.5,257,1625.15,3300,950,1000,1000,350,3300,944,1020.5,982.5,353,493,715.5,201.3,204,249.9,60.3,728.5,208.7,214,240.4,65.4
6/13/2016,4415.05,1358.75,1098.9,1535.05,422.35,682.6,3732.45,4050,1250,1050,1500,250,4058.5,1230,1061.5,1512,255,452,661.3,211.2,192.5,202.4,55.2,667.4,207.7,177.1,227.3,55.3
6/20/2016,3604.5,1094.55,926.6,1271.25,312.1,1352.3,2252.2,4100,1350,1000,1450,300,4046.5,1337,972,1440.5,297,353,522.6,158.8,158.7,170.7,34.4,546.6,167.3,175.3,166,38
6/27/2016,5152,1525.2,1377.95,1780.7,468.15,3495.1,1656.9,4400,1400,900,1800,300,4437.5,1395.5,894,1834.5,313.5,459,677.5,218.7,177,217.5,64.3,711.9,224.5,183.9,241.2,62.3
07/04/2016,4519.75,1396,1170.55,1559.05,394.15,2962.8,1556.95,4200,1300,1100,1450,350,5184.5,1513,1611,1459.5,601,407,593.8,182.8,145.3,215.5,50.2,608.6,206.3,132.4,212.4,57.5
07/11/2016,3816.35,1148.25,998.9,1314.1,355.1,2154.55,1661.8,4100,1200,1100,1500,300,4042.5,1221,1083.5,1444,294,394,569.9,157.5,152.5,207.1,52.8,640.3,163.2,184.1,241.9,51.1
7/18/2016,2901.1,909.65,803.15,949.65,238.65,1719.2,1181.9,3700,1150,1000,1150,400,3708,1166,995.5,1142,404.5,381,568.2,204.7,140.4,182.6,40.5,592.1,190.6,142.7,211.4,47.4
7/25/2016,2068.85,616.65,551,754.2,147,547.5,1521.35,2900,800,750,900,450,2874.5,764.5,785,876.5,448.5,424,630.6,188.6,173.3,209.7,59,654.3,210.2,174.4,204.5,65.2
08/01/2016,2906.3,883.8,731,1061,230.5,993.35,1912.95,2700,750,800,850,300,2661,728.5,784,847,301.5,366,548.2,171.1,139.4,188.7,49,583.3,165.7,149.7,214.9,53
08/08/2016,4496.15,1487.8,1144.6,1553.25,310.5,1789.15,2707,3570,1070,970,1270,260,3575,1071.5,971,1273.5,259,388,573.2,172.6,167.2,193.5,39.9,579.4,174.8,169.3,197.5,37.8
8/15/2016,4052.55,1225.5,1089.05,1366.75,371.25,1876,2176.55,3640,1100,950,1250,340,3648.5,1111.5,940,1256,341,418,615.7,182.7,159.9,215.4,57.7,621,184.7,163.9,213.5,58.9
8/22/2016,4039.2,1276.55,1025.6,1374.95,362.1,2263.2,1776,3960,1300,1000,1300,360,3802.5,1224.5,911,1300.5,366.5,336,503.5,160.4,138.2,158.3,46.6,590.6,182.6,171.3,185.8,50.9
8/29/2016,1720.75,566,420.65,601.6,132.5,389.6,1331.15,2250,730,520,800,200,2262,732.5,519.5,806,204,373,562.4,171.1,166.1,173.9,51.3,520.9,169,128.6,173,50.3
09/05/2016,1708.3,500.7,422.25,630.1,155.25,427,1281.3,3480,1000,950,1300,230,3441,1004,924,1284,229,381,572.4,151.8,163.3,211.3,46,614.8,159.6,200.1,207.7,47.4
09/12/2016,2680.95,790,685.6,964.05,241.3,795.95,1885,3700,1100,1100,1250,250,3704.5,1102,1099,1247.5,256,356,531.2,185.9,121.5,182.9,40.9,575.9,176.4,128.7,213.2,57.6
9/19/2016,3643.25,1135.5,943.6,1244.15,320,1671.16,1972.09,3600,1100,1000,1200,300,3570,1108,996.5,1175,290.5,437,637.4,180.1,183.5,205,68.8,550.5,169.8,155.2,178.6,46.9
9/26/2016,3832,1179.3,982.4,1343.8,326.5,1299.45,2532.55,3870,1250,1100,1200,320,3824,1240,1103,1164,317,413,594,187.3,151.5,194,61.2,611.9,176.5,156.8,209.4,69.2
10/03/2016,2077.55,643.75,531.55,743.75,158.5,,2077.55,2850,850,800,950,250,2833,848.5,791,954.5,239,410,609.3,196.4,184.9,186,42,670.1,216.4,199.2,200.7,53.8
10/10/2016,3576.7,1123,890,1194.1,369.6,635.5,2941.2,3300,1000,900,1150,250,3307,1017.5,915,1112.5,262,402,592.4,188.3,158.1,175.9,70.1,538.3,182.8,131.8,164.9,58.8
10/17/2016,4443.55,1330.8,1185.7,1531.05,396,2210.55,2233,4100,1200,1100,1400,400,3999.5,1190.5,1034.5,1360,414.5,359,526.2,192.5,127,161.8,44.9,570.5,166.8,151.5,197.4,54.8
10/24/2016,3724,1106.6,1027.75,1265.45,324.2,1590,2134,3750,1100,1000,1300,350,3791.5,1088.5,995.5,1335,372.5,392,572.5,206.8,129.5,187.2,49,623.6,235.2,140.3,195.4,52.7
10/31/2016,3762.25,1162.6,938.65,1354.25,306.75,1791.8,1970.45,3900,1200,1000,1350,350,3907,1232,1003,1338.5,333.5,367,544.4,166.3,141,193.3,43.8,565.1,176.3,149.8,204.9,34.1
11/07/2016,3002.9,951.4,807.6,1005.9,238,1067.65,1935.25,3670,1110,990,1210,360,3662,1110,984,1205.5,362.5,367,538.8,171.3,169.4,153,45.1,523.3,167.3,151.9,150.8,53.3
11/14/2016,5917.5,1789.8,1503.25,2081.75,542.7,4124,1793.5,4680,1400,1200,1700,380,4682.5,1432.5,1230,1634,386,375,561.5,190.8,157,173.1,40.6,583.1,173.1,174.6,194.2,41.2
11/21/2016,5468.9,1636.15,1344.7,2005.8,482.25,3926,1542.9,4600,1400,1200,1700,300,4647,1449,1199.5,1660,338.5,346,520,167.3,130.2,166.2,56.3,568.3,192,137.8,178.4,60.1
11/28/2016,3573.4,1032.5,938.25,1256.05,346.6,2083.95,1489.45,4200,1200,1200,1400,400,4250,1229,1204,1439,378,384,581,184.3,163.2,181.4,52.1,551.5,184.2,145.4,176,45.9
12/05/2016,4144.85,1262.75,1085.8,1406.8,389.5,2442.35,1702.5,4100,1300,1000,1400,400,4120.5,1295.5,1043.5,1375,406.5,420,613.7,203.2,165.2,186.6,58.7,602.7,199.8,161.4,186.9,54.6
12/12/2016,3931.85,1168.2,1100.15,1356.35,307.15,2459,1472.85,4100,1250,1150,1300,400,4049,1230,1155.5,1282,381.5,373,546.8,166.2,167.1,168.6,44.9,613.2,176.8,186.9,185.7,63.8
12/19/2016,3645.05,1121.4,894,1305.2,324.45,1655.35,1989.7,4140,1300,1200,1400,240,4178.5,1275.5,1254,1404,245,388,574.5,182,166.8,176.5,49.2,592.2,183.7,173.8,183.4,51.3
12/26/2016,2512.15,804.65,608.5,860,239,384.65,2127.5,3750,1100,1100,1200,350,3782,1122.5,1056.5,1256,347,399,603.3,180.3,157.9,205.5,59.6,555.5,183,156.1,173.5,42.9
01/02/2017,2629.95,813.95,673.85,941,201.15,1023.05,1606.9,3340,1100,800,1200,240,3292.5,1037.5,836.5,1180,238.5,402,610.9,186.1,176.9,193.3,54.6,658.1,181.1,190,224.3,62.7
01/09/2017,3001.45,929.55,776.55,996.85,298.5,1180.85,1820.6,3350,900,850,1200,400,3282.5,900,841,1156,385.5,331,497.6,178.9,123,155,40.7,538.2,194.7,135.5,160.1,47.9
1/16/2017,2002.85,584.6,551.75,689.5,177,440.5,1562.35,3050,950,850,1000,250,3006,938,845.5,954,268.5,352,543.2,179,161.1,149.3,53.8,583.5,193.2,164.7,172.3,53.3
1/23/2017,2538.85,727.05,656.6,934.7,220.5,,2538.85,2550,750,700,900,200,2493,724.5,702,870.5,196,281,417.2,134.4,101.6,143.3,37.9,528.4,168.1,141.7,168.8,49.8
1/30/2017,1360.4,439,380.35,456.55,84.5,,1360.4,1750,450,450,600,250,1773.5,457.5,473,608,235,280,422.6,134.9,105.4,141.8,40.5,334.7,106.2,80.8,110.5,37.2
02/06/2017,4432.35,1298.1,1170.65,1602.45,361.15,1125.45,3306.9,3200,1000,800,1100,300,3189,944,825.5,1115.5,304,405,611.8,175.5,173.8,216.5,46,577.9,166.1,166.4,204.1,41.3
2/13/2017,3559.1,1092.35,931.85,1197.65,337.25,879.25,2679.85,3890,1200,1000,1300,390,3771.5,1156.5,942.5,1281,391.5,399,567,187.3,161.7,162.3,55.7,636.3,198.2,183.2,200.9,54
2/20/2017,3628.2,1121.15,1000.1,1178.95,328,1327.75,2300.45,3650,1100,950,1300,300,3655,1091,957.5,1289.5,317,403,580.5,209.8,148.3,185,37.4,605.7,202.3,145.1,204.3,54
2/27/2017,3119.85,907.35,801.85,1118.15,292.5,797.85,2322,3600,1100,1000,1200,300,3601.5,1086.5,982.5,1215,317.5,384,561.1,172.3,152.4,183.1,53.3,589.9,205.2,162.5,180,42.2
03/06/2017,3268.4,1008.8,861,1161.6,237,1192.85,2075.55,3550,1000,1000,1250,300,3525.5,1030,960.5,1242.5,292.5,470,681.5,229,169.8,220.2,62.5,700.1,223,181.7,232.7,62.7
3/13/2017,3910.75,1151.65,1098.7,1311.55,348.85,2029.25,1881.5,3950,1200,1100,1300,350,3826.5,1113,1102,1252,359.5,431,608,218.8,160,179.7,49.5,639.2,236.6,168.3,186.5,47.8
3/20/2017,4543.55,1334.25,1226.15,1573.25,409.9,2058,2485.55,3860,1200,1000,1400,260,3774.5,1186,954.5,1366.5,267.5,432,670.5,198.5,183,232.4,56.6,686.7,210.1,192.7,226.5,57.4
3/27/2017,2746.35,780.65,741.35,1001.05,223.3,867.7,1878.65,3450,1000,900,1200,350,3440,972,903.5,1221,343.5,364,537.9,179,153.3,164.7,40.9,639.8,203.9,180.4,200.2,55.3
04/03/2017,2609.15,895.4,614.15,885.1,214.5,55,2554.15,2970,900,800,1000,270,2779,864.5,724,929.5,261,459,682.9,216.2,171.4,240.3,55,623.7,208.4,160.9,209.3,45.1
04/10/2017,4256.05,1309.65,1141.5,1460.15,344.75,1196.75,3059.3,3900,1200,1000,1400,300,3808,1123,995,1377,313,426,629.8,194.2,199.2,178.2,58.2,678.3,211.4,191.6,210.2,65.1
4/17/2017,4871,1465.4,1308.8,1700.4,396.4,1946.5,2924.5,4350,1300,1100,1600,350,4285,1259.5,1127.5,1563,335,441,666.2,233.5,149.2,222.9,60.6,622,202.5,161,208.2,50.3
4/24/2017,2988.25,971.05,779.5,990.2,247.5,1046.95,1941.3,3630,1100,950,1300,280,3595,1105,935.5,1275,279.5,375,596.2,196.4,169.1,175.9,54.8,649.8,221.1,183.4,192.7,52.6
05/01/2017,4303.95,1206.65,1141.75,1526.45,429.1,1310,2993.95,3900,1300,1000,1300,300,3841,1225,1030,1274,312,525,819.6,263,199.1,287.5,70,777.4,235.9,196.7,269.6,75.2
05/08/2017,3586.95,1048.65,982.05,1232.7,323.55,1561.85,2025.1,4600,1500,1200,1600,300,4661,1499.5,1258.5,1602.5,300.5,480,689.9,198.7,217.2,206.4,67.6,770,247.1,215.4,240.4,67.1
